FEC_ID,PRIMARY_PCT,GENERAL_PCT,ELEC_CYCLE
H2TX03126,0.636176051,0.618177276,2014
H2TX05121,1,0.853599586,2014
H2TX06160,,0.024073485,2014
H2TX07036,0.621945667,0.345470922,2014
H2TX10113,1,0.341397484,2014
H2TX11095,,0.039894286,2014
H2TX14149,1,0.618512265,2014
H2TX15088,,0.027277566,2014
H2TX16185,1,0.674892278,2014
H2TX16201,1,0.291690035,2014
H2TX18140,1,0.247608716,2014
H2TX20062,,0.147257085,2014
H2TX22126,,0.007029235,2014
H2TX23082,1,0.821004518,2014
H2TX23124,1,0.476803923,2014
H2TX24114,1,0.323086213,2014
H2TX26093,0.82624269,0.826634622,2014
H2TX27190,1,0.594701854,2014
H2TX29030,1,0.895498776,2014
H2TX29105,,0.104501224,2014
H2TX30103,,0.027393399,2014
H2TX31044,1,0.640482982,2014
H2TX33040,1,0.602193577,2014
H2TX33073,0.734770591,0.865136781,2014
H2TX35011,1,0.756604975,2014
H2TX35029,1,0.332969602,2014
H2TX36134,1,0.220730413,2014
H2UT01094,,0.647761355,2014
H2UT01235,,0.280095975,2014
H2UT02324,,0.608223657,2014
H2UT03140,,0.022765206,2014
H2UT04023,,0.50918678,2014
H2UT04056,,0.009179985,2014
H2VA04052 ,1,0.601501211,2014
H2VA05059,,0.010778502,2014
H2VA06115,1,0.745086474,2014
H2VA11164,,0.009259604,2014
H2VI00082,0.498769988,0.906543653,2014
H2VT00110,0.336747362,0.310343387,2014
H2WA06129,0.587023921,0.629831914,2014
H2WI01084,0.776199418,0.366283791,2014
H2WI01092,,0.000100635,2014
H2WI02124,0.995903893,0.683965492,2014
H2WV01037,1,0.360025425,2014
H2WY00125,,0.043076923,2014
H2WY00133,,0.040878256,2014
H4AK00123,0.809221384,0.409671804,2014
H4AL01123,1,0.681569163,2014
H4AL01156,1,0.317130207,2014
H4AL02071,1,0.325640659,2014
H4AL03061,1,0.337223854,2014
H4AL05082,,0.25168738,2014
